size = 0.0146229,f() = 2.10805,0.575363,5.70799,0.0301617,-0.437763,0.0158494,,,,,,,
size = 0.0119006,f() = 2.10805,0.575363,5.70799,0.0301617,-0.437763,0.0158494,,,,,,,
size = 0.0113034,f() = 2.08197,0.575221,5.70783,0.0301134,-0.437644,0.0158419,,,,,,,
size = 0.00722743,f() = 2.0552,0.568023,5.71772,0.0293987,-0.443856,0.016237,,,,,,,
size = 0.00701136,f() = 2.0552,0.568023,5.71772,0.0293987,-0.443856,0.016237,,,,,,,
size = 0.00701136,f() = 2.0552,0.568023,5.71772,0.0293987,-0.443856,0.016237,,,,,,,
size = 0.0068908,f() = 2.0271,0.571177,5.71403,0.029675,-0.441316,0.0156984,,,,,,,
size = 0.00641095,f() = 2.01764,0.573403,5.71087,0.0299163,-0.439528,0.0158824,,,,,,,
size = 0.00516768,f() = 2.01764,0.573403,5.71087,0.0299163,-0.439528,0.0158824,,,,,,,
size = 0.00455277,f() = 2.01215,0.573344,5.71063,0.0298993,-0.439367,0.0158465,,,,,,,
size = 0.00385206,f() = 2.01215,0.573344,5.71063,0.0298993,-0.439367,0.0158465,,,,,,,
size = 0.00301348,f() = 2.00728,0.57434,5.71003,0.0299458,-0.438897,0.0156425,,,,,,,
size = 0.00284491,f() = 2.00643,0.572022,5.71291,0.0297463,-0.440691,0.0157639,,,,,,,
size = 0.00179102,f() = 2.00353,0.571829,5.71375,0.0296966,-0.441273,0.0159514,,,,,,,
size = 0.00175775,f() = 2.00353,0.571829,5.71375,0.0296966,-0.441273,0.0159514,,,,,,,
size = 0.0017361,f() = 2.00353,0.571829,5.71375,0.0296966,-0.441273,0.0159514,,,,,,,
size = 0.00166538,f() = 2.00353,0.571829,5.71375,0.0296966,-0.441273,0.0159514,,,,,,,
size = 0.00134363,f() = 2.00262,0.573462,5.71107,0.0298707,-0.439573,0.015728,,,,,,,
size = 0.00124097,f() = 2.00235,0.572447,5.71232,0.0297834,-0.440358,0.0157852,,,,,,,
size = 0.00124097,f() = 2.00235,0.572447,5.71232,0.0297834,-0.440358,0.0157852,,,,,,,
size = 0.00124097,f() = 2.00158,0.572293,5.71309,0.0297433,-0.440811,0.015857,,,,,,,
size = 0.00124097,f() = 2.00158,0.572293,5.71309,0.0297433,-0.440811,0.015857,,,,,,,
size = 0.00123052,f() = 2.00051,0.572572,5.71266,0.0297887,-0.440562,0.0158833,,,,,,,
size = 0.00123052,f() = 2.00051,0.572572,5.71266,0.0297887,-0.440562,0.0158833,,,,,,,
size = 0.00102556,f() = 2.00051,0.572572,5.71266,0.0297887,-0.440562,0.0158833,,,,,,,
size = 0.000803452,f() = 2.00051,0.572572,5.71266,0.0297887,-0.440562,0.0158833,,,,,,,
size = 0.000823363,f() = 1.99867,0.573213,5.71263,0.0298157,-0.440471,0.0158678,,,,,,,
size = 0.000647169,f() = 1.99867,0.573213,5.71263,0.0298157,-0.440471,0.0158678,,,,,,,
